year,month,rate_exp_num,rate_exp_txt
2003,4,2.0,5.0
2003,5,2.0,5.0
2003,6,2.0,5.0
2003,7,2.0,5.0
2003,8,2.0,5.0
2003,9,2.0,5.0
2003,10,2.0,5.0
2003,11,2.0,5.0
2003,12,1.5,5.0
2004,1,1.5,5.0
2004,2,1.5,5.0
2004,3,1.5,5.0
2004,4,3.0,5.0
2004,5,2.8,5.0
2004,6,2.6666666666666665,5.0
2004,7,2.6666666666666665,5.0
2004,8,2.6666666666666665,5.0
2004,9,2.6666666666666665,5.0
2004,10,2.6666666666666665,5.0
2004,11,2.6666666666666665,5.0
2004,12,2.6666666666666665,5.0
2005,1,2.6666666666666665,5.0
2005,2,3.0,5.0
2005,3,3.0,5.0
2005,4,1.1551711846106494,2.098908609722748
2005,5,1.2204006058901482,2.098908609722748
2005,6,1.1717586471106514,2.098908609722748
2005,7,1.2338945109810986,2.098908609722748
2005,8,1.1656087069263548,2.098908609722748
2005,9,1.1590446921050233,2.098908609722748
2005,10,1.2837586873870095,2.0146172087953813
2005,11,1.1510301926056707,1.8704544797564815
2005,12,1.1662118108828312,1.8704544797564815
2006,1,1.1930452382147527,1.8704544797564815
2006,2,1.256842777451026,1.822970792967796
2006,3,1.1501398289143965,1.7379124152577667
2006,4,1.1621005160428488,1.7208353921645994
2006,5,1.2005630960690579,1.7208353921645994
2006,6,1.1713095118614334,1.7208353921645994
2006,7,1.2251008537906654,1.7208353921645994
2006,8,1.1703190643731192,1.6553219648968083
2006,9,1.2285830699688292,1.6553219648968083
2006,10,1.1960043086326526,1.6687045455307798
2006,11,1.3165397620534445,1.7708103775307493
2006,12,1.2868528112557815,1.7741162394283632
2007,1,1.2603229853858384,1.6854399536012965
2007,2,1.2297907080434052,1.6873624464139423
2007,3,1.2699517513209373,1.7161538547784574
2007,4,1.3199194475581142,1.697874836476962
2007,5,1.2616868096416964,1.6984255735268161
2007,6,1.3787514267613568,1.7038194724703366
2007,7,1.5074701282291862,1.6590466029013604
2007,8,1.5673868582961181,1.7049216253682937
2007,9,1.3097432893315741,1.708167052980042
2007,10,1.3513305767521353,1.715049719971843
2007,11,1.258688753745436,1.7212304908824614
2007,12,1.3378167368172171,1.7232737535895473
2008,1,1.2775837055103945,1.6788968693478374
2008,2,1.3620308376585848,1.6893632451161358
2008,3,1.3892817821039285,1.6914412064966644
2008,4,1.4300677494644343,1.6952278010613573
2008,5,1.4091042546742973,1.6976428237554106
2008,6,1.526483077427607,1.72489435595292
2008,7,1.505016088861622,1.7098524854376898
2008,8,1.5301489168358844,1.8152234363263104
2008,9,1.4841609371673348,1.8279356614622682
2008,10,1.4247777184646924,1.828775747317551
2008,11,1.4367248454707044,1.836377825248873
2008,12,1.5469892328631323,1.8654389174194441
2009,1,1.6359083607208305,1.8678489992559815
2009,2,1.5950811626318773,1.875877815571313
2009,3,1.7142125698489632,1.8809540550020412
2009,4,1.6570951049219451,1.89215134179451
2009,5,1.780200766847097,1.897381536231851
2009,6,1.7617323896901238,1.9002898432603477
2009,7,1.6855471229931687,1.8995941730885701
2009,8,1.5109753715922332,1.9052606160001222
2009,9,1.5343757576369008,1.7858584808807907
2009,10,1.6144019687849565,1.7789373162060529
2009,11,1.5031877387937012,1.7855488231970944
2009,12,1.626412468179061,1.6504429987843343
2010,1,1.6018844160338455,1.6184613019327583
2010,2,1.540869403632564,1.6559962586343568
2010,3,1.5345240996024305,1.634788952686492
2010,4,1.545345919589409,1.686487950859576
2010,5,1.5662269708690417,1.6583948743003665
2010,6,1.6799941388373751,1.6636290339151887
2010,7,1.6074980414168796,1.6726638669144243
2010,8,1.554183453479631,1.6846095699795418
2010,9,1.5968316568825347,1.6407847593696356
2010,10,1.546519759117943,1.6434196408629411
2010,11,1.576989348130402,1.5875767369839302
2010,12,1.5925228809879521,1.5648732495870652
2011,1,1.6064387564478513,1.5672378542874699
2011,2,1.5126022342211958,1.5520772663528646
2011,3,1.5480413351301894,1.5618476563015566
2011,4,1.5351642993364247,1.5660087354551386
2011,5,1.4632597208031166,1.5644144205377133
2011,6,1.4267487590936019,1.566206736581725
2011,7,1.5344169340872285,1.5623482875005967
2011,8,1.4623420406610619,1.5401173504424985
2011,9,1.396240479521143,1.542676378586147
2011,10,1.3806228911192295,1.5519010210556499
2011,11,1.385644854357006,1.432638461730628
2011,12,1.4774121275635375,1.435857082145949
2012,1,1.4220724613176026,1.4243205237129002
2012,2,1.488449481158719,1.4310180179239294
2012,3,1.337955828810072,1.4216627833615287
2012,4,1.4038771532447578,1.4192783674146356
2012,5,1.404484697412122,1.4063779584956524
2012,6,1.521437791535404,1.4083816706571346
2012,7,1.399032315267943,1.4099558677119273
2012,8,1.3901676544140098,1.4041771422087963
