index,sales,star_rating,neg,pos,neu,helpness,vine_Y,veri_y,two_sides,rate_exp_num,rate_exp_txt,review
109226352,79,3.924050632911392,0.04611392405063292,0.1913797468354431,0.762518987341772,0.2022073877140897,0.0,69.0,75.0,1.8715806236937904,2.0917312051038377,"price,Great little unitDEAD after ony 1.5 yrs of light usePerfect size for small space.Good microwave but a little expensive for what you getFive Starsthoughtfully designednone functioning microwaveDoor does not always close properlySmall space, big job.best microwaveWorth the extra priceThis unit is unusual and special due to its vertical dimensions.TURNTABLE DOES NOT WORKperfect sizeHello, counter space!!!The most adorable little microwave aroundNice Microwave w/glass turntableAs others have said...Five StarsLove this little microwaveNot working rightGREAT Microwave!!excellent!Serious Little MicrowaveBest microwave I've ever owned or used.Four StarsIt works goodCutest and most space-saving MW everPerfectGreat  Little  MicrowaveJunk! Do not buy!... for about a year now and I am very happy with itOne StarMr. Johnny WarrenWill not work in OTR vehicles!Tiny treasurePerfect size for table top microwaveWhirlpoolGreat Microwave.Packed upPerfect for my RV.I like itWell built productNot for the Inverter use. If you want to use on your truck, this is not the one.great productNot Pleased First time around - I'll try a second timeSmall, but so great.Perfect Fitperfect for a small kitchenUnique Microwavecutest microwave everExactly what I hoped it would beGreat for small kitchens!Only o.k.A Whirlpool LemonFits a need.Truckers MucrowaveGreat product, great price!I love this little microwaveOccasional useFrom a creative genius mind!One StarCame damaged, but did not see til after use ...Compact, Attractive, Gets The Job DoneLove it!Works as advertised.Perfect!Four StarsMore units should be available in this shape and size...The quality and deliverry where very good but I returned it unused as it weighed too ...Does not operate on an inverter!!!Its good, recomendeGenius DesignCompact and CuteperfectMicro Microit fits nicelyFour StarsPerfect size"
147401377,10,1.1,0.15619999999999998,0.08630000000000003,0.7573000000000001,0.2388678691568575,0.0,2.0,9.0,0.08333362277225448,0.06801986884253874,"price,Horrible product!Control Panel Dies after 1 yearwas told the replacement part cost $165 for smart board but may also need a new keypad $150GE JVM1540SMSS over the range microwave oven caught on fire1.5 years later, it caught on fireBroken Keypad After 1 YearYukOngoing issuesRun!Didn't work"
149559260,1,5.0,0.133,0.069,0.7979999999999999,0.3693840026182692,0.0,1.0,1.0,1.8244937958902316,2.100688622258844,"price,matched its description, successfully replaced broken part on my ..."
155528792,11,2.272727272727273,0.07009090909090909,0.10236363636363638,0.8274545454545454,0.2822798820083069,0.0,3.0,11.0,0.7353857484967616,0.7077187490553372,"price,2 defects in less than a month.  Too hot to touch when cooking on stovetopCheap HandleGE should be embarrassed.GE Cafe Microwave doesn't lastHard to use, if it works at all.Very Happy with replacement Cafe Series MicrowaveOven seems like it will be okay but GE does have their ...Good, but with some surprisesFive StarsReceived with damages in the back and on the sides ...Don't waste your money on GE Cafe - poor quality"
166483932,13,3.0,0.04084615384615385,0.1260769230769231,0.8331538461538462,0.2271629008907564,0.0,6.0,13.0,1.0139085859372,1.1122611027152298,"price,Do not waste your money with thisShe saidIt Helps To Read The Owner's Manual - And About Those Peeling HandlesUnit is Top of the lineAmortizes to $30/month for a dangerous piece of junk that GE will not stand behindSo far so good!The microwave/oven features are great. Very easy to use and looks greatI have owned a suite of Ge Cafe products ( ...More than I expectedFair warning: Stay away!One Starnice microwaveFive Year Lifetime"
168181302,14,3.4285714285714284,0.0385,0.17799999999999996,0.7835714285714285,0.2828689974734728,0.0,9.0,13.0,1.3126195098678957,1.3464058305177633,"price,Best Microwave so farVery disappointed.Whirlpool MicrowaveFour StarsGood product; Bad Customer ServiceAs the wiseman said I have a happy life when I have a happy wifeBig, Well BuiltCan't go wrong with this microwave!works well, not liking the push button door releaseAfter 15 months of moderate use, the touch panel has deteriorated so badly and the sound is hardly audible.Buy a One Year Warranty ExtensionWish we had researched bettermet my expectationsChoose Panasonic instead"
215953885,14,2.7142857142857144,0.08471428571428571,0.10678571428571426,0.8085000000000001,0.20278032297039209,0.0,6.0,14.0,0.9061902059180982,0.9610712138489432,"price,IT TALKS TO YOU AND DOES THE JOBVery disappointed!The first one was a nice model. This one has served wellmicrowave packaging was not strong enoughDidn't last, vindictive customer serviceArrived damagedWorks greatNeed to upgrade the shipping methodMissing parts, cannot install until Samsung rectifiesBad Microwave, Bad ServiceIn 40 years of buying appliances, worst purchase I ever made!Doesn't laststeam from stove will ruin itRead this!!!!! Then install !!!!"
242727854,27,2.074074074074074,0.06500000000000003,0.08607407407407408,0.8489259259259259,0.26254539346631983,0.0,7.0,27.0,0.6289686926559686,0.6596916604929124,"price,a lemonGreat customer service while under warrantyFailure at 16 monthsMixed FeelingsWorked great until the door broke!!Get a Commercial Grade MicrowaveJust a pretty face!Great addition to our kitchenTerrible! Unreliable and now is DEAD!GE Profile MicrowaveGood, so farGreat countertop microwaveWorked great but now door won't close right so it doesn't work.Would never purchase anything by GE againGood microwave but GE must think it's a disposable.Good performance, suspect reliabilityTotal JUNK!Buyer Beware of GE!Looks great but longevity poorGE Spacemaker microwave ovenUnreliable + Horrible Customer Service = No more GE products for me!Before you hit purchase, be warned.Poor Product; Worse Customer ServiceDamagedPoor reliabilityLarger and More Powerful But Short Service LifePlan to replace in 2-3 years"
295520151,74,3.5540540540540535,0.07425675675675675,0.1553513513513514,0.7704594594594595,0.21568051016051373,0.0,45.0,71.0,1.5636691600357548,1.814691352510378,"price,One StarNot worth the expenseDO NOT BUYJust Installed it in a new kitchenWorks great for us!Great microwave.James Bond likeSharp Microwave Drawer Oven - Stainless SteelThis Sharp drawer microwave is amazing! It has buttons to both open and close ...loved the drawer/cupboard installationDead in about a monthvery happy so farLooks and warms great but has a problem with the door closingThis is a money pitStopped working after 1 weekGarbageGreat microwavelove the drewergreat microwavegreat microwaveProduct was Great!Dead already?  You've got to be kidding me!It was great for the 23 months that it workedNot goodGreat purchase, done well!Great Appliancegood conceptNot worth it.Looks fantastic and it works great!0 starsBest DecisionObviously a widespread defectFive StarsFour years later - still going strongcrap in a boxModern and practical!Sharp makes dull productsVery Pleased with ProductSo far no problemsGreat Microwave works and looks FANTASTIC!!!!!!I love itGreat product!I've had this microwave for a year and am pleased and have no problem until a few days agoCustom Looking Built-In Microwave That Works Great!save $this is so coolyou can defrost hamburger on the stovetop and other lessons from the death of a microwaveWould definitely buy againQuit Working After 2 1/2 Years of Use...... microwave for a few weeks and so far are happy with our purchaseThe Kitchen of the Future...Today.Love this microwaveWe love this microwave!What a dudGreat microwaveHigh tech microwaveLove this. Microwave is not on the counter or ...Great Microwaveoutstanding!Expensive but a good buySOLID microwave, looks and works perfect! See my photos.Great Product!Great drawer microwaveThis is my FAVORITE kitchen appliance!!!Outstanding!Stopped working after 2 monthsStopped working after 2 yearsGreat concept but horrible quailty and customer service. Buyer BewardAmazing MicrowaveMagnatron failureNice Looking Good Customer Service So Farworks well and an an advantage i had not thought ...Good looks, Poor functionLooks great but very prone to breaking!"
305608994,45,4.266666666666667,0.0468888888888889,0.2160888888888889,0.7371555555555557,0.2770524376146485,0.0,37.0,40.0,1.871920310439324,2.016200284186138,"price,Replaced the same model bought 6 years agoGood simple microwaveI like Sharp MicrowavesAffordable QualityIt does the job looks nice, I am happy with it and the big ...This is a good choice for a simple over the oven micowaveSharp Microwave ReviewOk, but some options are limited and the instructions are somewhat obtuse.It's fine three years later!too early to rate the microwave.Four StarsNot A Reliable MicrowavePleased I did not follow advise of other review, I love thisNew microwaveGood deal...works GREAT!Great microwave, easy to install and a space saver!only had a short timeFive StarsGreat MicrowaveBargain at the price.GREAT MICROWAVE FOR THE MONEYFive Stars$150 of Repairs in 5 YearsSharp R-1405 Microwave ovenJust what we wanted to replace our failed unit of 23 yrs!good basic microwaveSharp R-1406 micravePerfect for usDelighted overallgreat microwaveGood ResultsWonderful looking, Quite largemicrowavea bit clunky soundingLooks great!Purchased for dimensionsPurchase of Sharp MicrowaveWhat Happened to Sharp Quality?Three Starsgreat!Sharp R-1405 MicrowaveThree StarsLooks sleek.Sparks flew...  fire hazardworks great"
