year,month,rate_exp_num,rate_exp_txt
2002,3,5.0,5.0
2002,4,5.0,5.0
2002,5,5.0,5.0
2002,6,5.0,5.0
2002,7,5.0,5.0
2002,8,2.4999999999999996,2.5000000000000004
2002,9,2.4999999999999996,2.5000000000000004
2002,10,2.4999999999999996,2.5000000000000004
2002,11,2.5,2.5
2002,12,2.5,2.4999999999999996
2003,1,2.5,2.5
2003,2,2.5,2.5
2003,3,2.5,2.5
2003,4,2.5,2.5
2003,5,2.4999999999999996,2.5
2003,6,2.5,2.5
2003,7,2.5,2.5
2003,8,2.5,2.5
2003,9,2.5,2.5
2003,10,2.5,2.5
2003,11,2.5,2.5
2003,12,2.5,2.5
2004,1,2.5,2.5
2004,2,2.5,2.5
2004,3,2.5,2.5
2004,4,2.5,2.5
2004,5,2.5,2.5
2004,6,2.5,2.5
2004,7,2.5,2.5
2004,8,2.5,2.4999999999999996
2004,9,2.5,2.4999999999999996
2004,10,2.5,2.4999999999999996
2004,11,2.5,2.5
2004,12,2.5,2.5
2005,1,2.5,2.5
2005,2,2.4999999999999996,2.5
2005,3,2.4999999999999996,2.5
2005,4,2.361105328781625,3.2652879391980907
2005,5,2.3659233866960614,3.224259746736756
2005,6,2.3063790412044933,3.2867883296410096
2005,7,2.229385530622982,2.985749040418623
2005,8,2.30214150700221,3.0776564847412224
2005,9,1.687936723802047,1.9839151290561359
2005,10,2.1783062931256687,2.1757664845495284
2005,11,2.252648358981794,2.1424884809668066
2005,12,1.6249636652640431,2.257665809956996
2006,1,1.614502903640048,2.007007604793209
2006,2,1.763537820279237,2.124592342198261
2006,3,1.6484987175522934,1.8661052091089814
2006,4,1.7328817859326422,1.8599106637305947
2006,5,1.968516865655291,1.8647946458895572
2006,6,1.9876452356777718,1.8437432231171205
2006,7,1.887925147967646,1.8218622270648939
2006,8,1.9512751687369105,1.6580673639313424
2006,9,1.9273407416781627,1.6839585660452103
2006,10,1.9695462415915597,1.6789717984487718
2006,11,1.736582763670843,1.497688039147225
2006,12,1.8226290773307754,1.5503283747134542
2007,1,1.73027405849853,1.6943871402188129
2007,2,1.8173570756190682,1.6319963827184067
2007,3,2.066059933684861,1.6297442769289106
2007,4,2.3232576260182936,2.1017116698272242
2007,5,2.427043817540923,2.2348403893773074
2007,6,2.249708687415514,2.212939365727474
2007,7,2.3928310558976436,2.18683280711265
2007,8,2.270519320536281,2.145103980958468
2007,9,2.207259311354409,2.128379750380608
2007,10,2.283053271069205,2.143663803955134
2007,11,2.3188872336647197,2.1221038458190176
2007,12,2.278796108201975,2.0257460566506857
2008,1,2.2620982695223057,2.0003997719788362
2008,2,2.2736962619868013,1.9682792646711784
2008,3,2.079543842275225,2.0567650632915315
2008,4,2.0973217243288187,2.0129187506156137
2008,5,1.9664466070957105,1.9410551975607846
2008,6,1.9152577370081638,1.9032924747652915
2008,7,2.018900964097262,1.8759201186737526
2008,8,2.1229938011160665,1.9018683128763152
2008,9,2.009398811314333,1.9260654130847326
2008,10,1.9031802946492555,1.9197974142603391
2008,11,2.115253974098269,1.9848601874501504
2008,12,2.113796999367912,2.036920573759673
2009,1,2.104374917052594,2.0817161140159013
2009,2,2.217879495376779,2.025692173151086
2009,3,2.230769564761609,2.103453939762292
2009,4,2.119804035879103,2.044542451528025
2009,5,1.9756581941154083,1.9784202219908384
2009,6,1.7758987042141876,1.9802855506041086
2009,7,1.799162701297374,2.0183348465517077
2009,8,1.845817506657645,1.9846572580650792
2009,9,1.9495326828515136,2.0538242056934974
2009,10,2.0414383402936314,2.149808169956942
2009,11,2.0260460942095886,2.141939452648524
2009,12,1.9843483617836815,2.153958128973672
2010,1,2.287186621201202,2.140288106089374
2010,2,2.1495512314752867,2.1720940122204566
2010,3,1.9850930489625231,2.0374121697617507
2010,4,1.7911235521482727,2.018010858699325
2010,5,1.7884790410470564,1.9619201190559208
2010,6,1.8710872548674737,1.9481155100912064
2010,7,1.9709666934982562,1.9547952253944652
2010,8,1.6672277474082187,1.8740152536118644
2010,9,1.6682036667753337,1.870603966812043
2010,10,1.7103299110730588,1.8710024841927875
2010,11,1.8099443262993915,1.894361457791642
2010,12,1.715438234940999,1.8535163174892964
2011,1,1.7133302096776628,1.8228292252499814
2011,2,1.7891013777556855,1.7689796031753466
2011,3,1.7776505324158594,1.742643813328415
2011,4,1.7615608684165764,1.7607197579859444
2011,5,1.7025462236807747,1.742871475694786
2011,6,1.776998700947454,1.7047982374035058
