index,sales,star_rating,neg,pos,neu,helpness,vine_Y,veri_y,two_sides,rate_exp_num,rate_exp_txt,review,attitude_target,keywords
423960,72,4.0972222222222205,0.031652777777777766,0.19061111111111112,0.7776666666666663,0.07076880872144238,0.0,68.0,71.0,1.7469374360598136,1.758931997605432,"price,I am disappointed.At first it was fine but I may need to replace it soonOne StarJust what I neededGreat DryerDon't waste your money!!So far it's great!Keyword - Ionic...Great DryerVery niceIt's awesome!Hair DryerBought it for my upcoming trip to Paris, FranceHugeRIP 9/25/2014My favoriteAs is likely with all hair dryers that have the ...Great little dryer!Solid hair dryerSimple to use!awesomeAwesome productGood HairdryerGood hairdryerConair hir dryer reviewGood Hair dryer. Works wellDecent Hair dryerAmazing!Great Hair DryerWorks greatIf you're looking for a retractable cord, don't buy this one!Perfect Hair Dryer For Home & TravelIt is an excellent product but its huge in size.Five StarsTravel hair dryergreat while it lastedA storage dreamConair Pro Hair DryerIt rewinds!!!  Works well, too.Works Great!I've had it foreverPerfect Dryer!Works well and folds nicelyWorks ok, but kinda whiny.Conair 260PXi'm very happy with my purchaseHoped for betterBulkyHeavy and handle a little too fat for my preferenceFor a hair raising experience try this!Good BuyConair not the sameGreat!One StarEasy to Pack and Worked Well in ChileLove This Hair Dryer!OK for what it is, could have had better heat settings.Great While it WorkedIts okI love it. Love the retractable cordget rid of the cord tangleGreat BuyNice HairdryerRetractable Cord!Was fine while it lasted...which wasn't longGreat dryerBetter than expected!wife didnt like itgreat producthappy customer!Stylush & affordableFive Stars",2,"hair,dryer,great,works,cord,#NUMBER,retractable,little,ok,fine"
4120409,1,5.0,0.01,0.185,0.805,0.29615568144173743,0.0,0.0,1.0,1.8784638645627,1.912704381158317,"price,This is Awesome!",2,"poorly,designed,container,bad"
11468070,1,1.0,0.055,0.17800000000000002,0.767,0.04524735496749745,0.0,0.0,1.0,0.0327339091198571,3.200266066795411e-05,"price,Too bad the container is poorly designed!",2,"scent,non,lovely,irritating"
12536427,1,5.0,0.013000000000000001,0.213,0.774,0.05547797493206901,0.0,1.0,1.0,1.86417742379764,1.9116108837201955,"price,Lovely scent, non-irritating",2,"product,great"
14552349,1,5.0,0.043,0.10099999999999999,0.856,0.2754385097788284,0.0,1.0,1.0,1.9030470638530887,1.912610234878075,"price,A Great Product!",2,"dryer,hair,best,blow,love,buy,good,heat,cosmeticbeautyplace,starsfive"
16483457,76,4.407894736842105,0.02285526315789474,0.2748815789473685,0.7022894736842107,0.15896780943203734,0.0,60.0,68.0,1.9545452185192929,1.9152530556180734,"price,Super duper dryer but has varied heat settings for those worried about it being too hotFive StarsLove this dryer!Love!!!Favorite dryer! Dries hair quicklyGood Hair Dryera great buy...Best Damn Hair Dryer...Period!Outstanding Straightening Blow Dryer!!!!Best blow dryer I have ever ownedBuenoNothing fancy- but a LOT of hot air!Five StarsFive StarsFour StarsGood BuyBest Blow Dryer EVER.Good BuyFive StarsThe blow dryer is awesome however the attachments fall off when trying to useGreat priceOld faithful...Five StarsOne StarFive StarsLove this Hair DryerBest Dryer EverThis hairdryer means businessFour StarsAMAZING!would not recommend this productGood product!Do not buy!The best dryer everAwesome DryerPower/handlingFive StarsOne StarLove this!Best dryer!The best!Great item at great priceBest dryer ever!Im a dude first off. At first I thought ...Buy it!hairFive StarsToo Expensive to Break So SoonI love love love this hair dryerFive StarsFive StarsA very good buyI love this dryer and wish they made it in a ...Great buy!Yes t the Yellow Bird!LOVE IT!Fast!Great Product & Good Company to order from cosmeticbeautyplace From cosmeticbeautyplace (Fulfilled by Amazon)I like that this dryer provides greater heat than my 1800 ...I agree with Rosa.This is the best dryer for thick hair and beauties with natural/curly hair ...They are great. Last forever and very sturdythe best blow dryer i ever hadDon't listen to the hatersBlow drying your hair is no longer a choreGreat dryerGreat dryerOne Stardryer scamCOOLEST DRYER EVER:-)USE TO BE GOODusually my hair would still be super fluffy and still kind of tangled after blow dryingBest I have purchased!The Best Home Hair DryerBrand NewFour Stars",2,excellent
16983648,1,5.0,0.0,0.046,0.9540000000000001,0.016108874612878646,0.0,1.0,1.0,1.931336608896152,1.9114320613736189,"price,Excellent!!!",2,"light,lashes,fabulous,blonde"
21033180,1,5.0,0.036000000000000004,0.14300000000000002,0.821,0.4612203747183621,0.0,1.0,1.0,1.9028358248159951,1.913454626974336,"price,Fabulous for Light Blonde Lashes!! A MUST HAVE!",2,"smell,heaven"
21750700,1,5.0,0.051,0.25,0.6990000000000001,0.038445605089533263,0.0,0.0,1.0,1.8606175036292592,1.911533517639097,"price,Smell of heaven",2,"hair,dryer,love,great,#NUMBER,best,good,ve,nice,ceramic"
26711891,71,4.169014084507042,0.04543661971830985,0.1833239436619718,0.7712957746478876,0.11503201693169048,0.0,63.0,69.0,1.7160001864630623,1.789679047044725,"price,Andis makes good on warrantyAndis 75370 Ionic/Ceramic 1875 Hair DryerEXCELLENT CHOICEExcellentGreat, for the few months it worked.I like itseems sturdy, is attractiveFive StarsLove this hair dryer!Love this hairdryerGreat buyNice DryerAndis 75370 ionic/ceramic dryer, It's OK, not GreatWorst hairdryer I've had in several yearsvery happy customerGood so farGood hair dryerGood blowerGreat Hair dryer!Great light hair dryerconairs are better compared to this.Love the Frizz ControlStill working great!Hair dryerhair dryerWatch the Buttons!Love this hair dryer!!The Best Hair Dryer I've Ever Ownedit's a great hair dryerReally nice hair dryerGood hair dryer, some annoyancesGreat ProductUsed to hate drying my hair...Very Nice!best hair dryerLove love this dryer!!!Greatest Yet!Best Hair Dryer My Wife ever Owned.Works great.GreatAs expectedNot good for fine hairGood price, great for thick hairNice smooth hardware. Does the job.Nice giftBest hair dryer I've owned for the priceTwo Starswould buy againexcellent product for the priceOkayGreat dryerALMOST CAUSED A FIRE!!!!Way too bulky....broke after 4 months of useLove this dryer!Good dryer for the moneyOk, but not greatgood productThe best hair dryer ever!Impressed!Reduces Drying TimeHOT AIR!Andis 75370 Hair DryerA good replacementnice productNice Hair dryerNice Dryer....Works great!Love it!Love it!Four Stars",2,"poor,design"
